sku;anio;semana;unidades_vendidas;importe_total_pyg
136769;2024;48;36;2127273
136769;2024;49;14;827272
136769;2024;50;23;1300000
136785;2024;45;8;594000
136785;2024;46;1;90000
136785;2024;47;9;810000
136785;2024;48;17;1530000
136785;2024;49;9;792000
136785;2024;50;17;1381500
136785;2024;51;5;378000
136786;2024;44;3;356363
136786;2024;45;2;254545
136786;2024;46;4;509090
136786;2024;48;7;865454
136786;2024;49;14;1781818
136786;2024;50;8;897272
136786;2024;51;2;190909
136786;2024;52;1;101818
136786;2025;1;1;89090
136787;2024;43;1;62727
136787;2024;44;2;125454
136787;2024;45;4;213272
136787;2024;46;4;250909
136787;2024;47;5;313636
136787;2024;48;33;2070000
136787;2024;49;1;62727
136788;2024;43;2;125454
136788;2024;44;1;62727
136788;2024;45;3;150545
136788;2024;47;6;376363
136788;2024;48;12;752727
136788;2024;49;10;627273
136788;2024;50;11;624135
136788;2024;51;18;922090
136788;2024;52;6;284545
136788;2025;46;1;50181
136789;2024;1;1;50181
136789;2024;43;1;62727
136789;2024;44;4;250909
136789;2024;45;5;276000
136789;2024;46;2;112909
136789;2024;47;3;188181
136789;2024;48;5;313636
136789;2024;49;11;690000
136789;2024;50;19;1097726
136789;2024;51;10;514363
136789;2024;52;1;50181
136789;2025;46;1;62727
138339;2025;50;1;522181
139160;2024;49;7;133636
139160;2024;52;11;168000
139792;2024;50;3;347727
139792;2024;51;5;593181
139792;2025;49;2;272727
139792;2025;50;7;763636
139792;2025;51;3;347727
139792;2025;52;1;136363
139792;2026;10;1;136363
140009;2025;51;1;117272
140015;2024;45;2;42181
140015;2024;48;1;26363
140015;2024;50;2;42181
140017;2024;42;2;27272
140017;2024;43;2;27272
140017;2024;44;2;27272
140017;2024;45;19;212727
140017;2024;47;1;13636
140031;2024;49;1;959090
140056;2024;49;10;309090
140056;2024;50;12;370909
140056;2024;51;2;49454
140058;2024;50;1;17272
140067;2024;45;9;189818
140067;2024;46;7;184545
140067;2024;48;10;242545
140067;2024;49;15;395454
140067;2024;50;16;421818
140067;2024;52;3;41455
140069;2024;42;2;23636
140069;2024;45;4;42545
140069;2024;47;1;11818
140076;2024;47;2;27272
140076;2024;48;11;120000
140076;2024;52;2;21818
140109;2024;45;1;18181
140202;2024;46;1;73636
140202;2024;47;8;589090
140202;2024;48;4;287181
140202;2024;49;2;147272
140202;2024;50;8;544909
140202;2024;51;1;73636
140202;2025;44;5;368181
140202;2025;45;5;342409
140202;2025;46;8;589090
140202;2025;47;2;147272
140202;2025;49;4;294545
140202;2025;50;4;294545
140204;2024;46;5;368181
140204;2024;47;5;368181
140204;2024;48;5;368181
140204;2024;50;8;555954
140204;2024;51;2;147272
140204;2025;44;12;883636
140204;2025;45;8;589090
140204;2025;46;7;508090
140204;2025;47;7;515454
140204;2025;48;2;147272
140204;2025;49;8;589090
140204;2025;50;2;147272
140254;2024;44;1;30000
140254;2024;49;20;600000
140254;2024;50;10;255000
140254;2024;51;4;120000
140267;2024;45;2;49454
140267;2024;50;7;185454
140267;2024;51;1;24727
140270;2024;48;1;30909
140270;2024;49;9;278181
140270;2024;50;10;309090
140270;2024;51;2;49454
140370;2024;45;67;1090909
140370;2024;46;11;200000
140370;2024;47;3;54545
140370;2024;48;11;200000
140370;2024;49;26;472727
140370;2024;50;17;300000
140628;2024;50;1;1800000
140628;2025;28;1;1080000
140628;2025;44;1;1800000
140628;2025;46;1;1800000
141030;2024;50;1;17045
141030;2024;51;1;17045
141035;2024;44;1;13636
141035;2024;45;2;21818
141035;2024;49;3;40909
141035;2024;50;2;21818
141035;2025;46;2;24545
141035;2025;47;1;13636
141058;2024;45;2;37272
141058;2025;45;4;74545
141058;2025;46;1;18636
141058;2025;47;1;18636
141734;2024;42;1;62727
141734;2024;46;2;125454
142531;2024;46;30;272727
142538;2024;10;1;8181
142538;2024;12;1;8181
142546;2024;51;3;134090
142552;2024;50;27;294545
142553;2024;50;21;220909
142559;2024;49;36;490909
142559;2024;50;30;368181
142559;2024;51;5;57954
142907;2025;50;1;323636
142948;2024;37;1;93181
142950;2025;12;1;279545
142952;2025;36;1;186818
142991;2025;51;1;156818
143189;2024;47;4;381818
143189;2024;49;4;381818
143189;2024;50;10;773181
143189;2024;51;8;706363
143189;2024;52;1;76363
143189;2025;18;1;95454
143189;2025;24;1;95454
143189;2025;31;2;190909
143189;2025;35;1;95454
143189;2025;44;1;95454
143189;2025;46;1;76363
144850;2024;46;60;190909
144850;2024;47;144;458182
144850;2024;48;126;395499
144850;2024;49;75;221454
144850;2024;50;31;85113
144850;2024;51;40;104363
144850;2024;52;4;10181
160316;2024;44;1;180909
160316;2024;45;5;723636
160316;2024;46;5;904545
160316;2024;47;6;1067363
160316;2024;48;7;1212091
160316;2024;49;9;1628181
160316;2024;50;15;2451318
160316;2024;51;4;546345
160316;2025;41;3;542727
160316;2025;44;2;361818
160316;2025;46;2;325636
160316;2025;47;4;723636
160317;2024;43;3;73636
160317;2024;44;4;98181
160317;2024;45;9;181636
160317;2024;46;1;24545
160317;2024;49;5;122727
160317;2024;50;44;947454
160317;2024;51;67;1329136
160317;2024;52;11;216000
160317;2025;42;2;49090
160317;2025;43;6;147272
160317;2025;44;13;314182
160317;2025;45;40;864000
160317;2025;46;35;716727
160318;2024;43;1;24545
160318;2024;44;1;24545
160318;2024;45;13;265090
160318;2024;46;12;270000
160318;2024;47;13;319090
160318;2024;48;41;1006362
160318;2024;49;34;829636
160318;2024;50;24;584181
